Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0.1,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0.2,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Huntington Properties (Iber Road Property LP)-Sprinkler,20-1450BI,AI,,,,2021-09-01,09/01/2020,2021-08-31,,,,600.0,,,,,WET,44 Iber Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Huntington Properties (Iber Road Property LP)-Fire Alarm,20-1450BI,AI,,,,2021-09-01,09/01/2020,2021-08-31,,,,600.0,,,,,FA,44 Iber Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Huntington Properties (Iber Road Property LP)-Route,20-1450BI,AI,,,,2021-09-01,09/01/2020,2021-08-31,,,,600.0,,,,,"FE,EL",44 Iber Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Huntington Properties (Iber Road Property LP)-Sprinkler,20-1450BI,BI,,,,2021-01-01,01/01/2020,2020-12-31,,,,175.0,,,,,"SPR,WET",44 Iber Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Huntington Properties (Robertson Road Property LP)-Sprinkler,20-1169BI,AI,,,147,2021-05-01,05/01/2020,2021-04-30,,,,1750.0,,,,,"HYD,BF,SPR,WET,PREACTION",2175 Robertson Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Huntington Properties (Robertson Road Property LP)-Fire Alarm,20-1169BI,AI,,,147,2021-05-01,05/01/2020,2021-04-30,,,,1750.0,,,,,FA,2175 Robertson Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Huntington Properties (Robertson Road Property LP)-Route,20-1169BI,AI,,,147,2021-05-01,05/01/2020,2021-04-30,,,,1750.0,,,,,"FE,EL",2175 Robertson Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Huntington Properties (Robertson Road Property LP)-Sprinkler,"Feb 7, 2019",BI,,,,2021-01-01,01/01/2019,2020-12-31,,,,240.0,,,,,"SPR,WET",2175 Robertson Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Huntington Properties (HPOI itf Boyd Avenue JV)-Sprinkler,20-1449BI,AI,,,,2021-07-01,07/01/2020,2021-06-30,,,,550.0,,,,,WET,883 Boyd Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Huntington Properties (HPOI itf Boyd Avenue JV)-Route,20-1449BI,AI,,,,2021-07-01,07/01/2020,2021-06-30,,,,550.0,,,,,"FE,EL",883 Boyd Avenue,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
